path_config,, 
fileinfo_new,?, 
doneListFile,path to file with information of output figures, 
polly_config_folder,directory of polly configuration files, 
log_folder,directory of log files, 
gdas1_folder,directory of GDAS1 meteorological data (should that really be stored on picasso level?), 
defaultFile_folder,directory of polly default files (we abandoned default files),x
results_folder,directory for exporting processing results, 
pic_folder,directory for exporting figures, 
pollynet_config_link_file,path of file linking times instruments and configs, 
polly_global_config,, 
figDPI,DPI of figures, 
fontname,fontname used for figures, 
minDataSize,minimum data size required for data processing (Byte), 
institute,, 
homepage,homepage of pollynet, 
contact,(seems redundant with the field given in the config), 
visualizationMode,?, 
pyBinDir,path of python.exe,x 
flagDeleteData,delete polly data after being processed, 
flagDeletePreOutputs,delete previous results for the same polly data, 
flagEnableCaliResultsOutput,enable calibration results output, 
flagEnableResultsOutput,enable results output, 
flagEnableDataVisualization,activate data visualization, 
flagEnableDataVisualization24h,, 
flagPlotLastProfilesOnly,, 
flagDebugOutput,, 
flagReduceMATLABToolboxDependence,, 
flagSendNotificationEmail,, 
flagWatermarkOn,attach water-mark on each figure, 
MWRFolder,folder of prw results from MWR. (This is only for LACROS),x (polly_config_file) 
